   29.23   30.23   31.23   32.23   33.23   34.22   35.22   36.22   37.22   38.22
   39.22   40.22   41.21   42.21   43.21   44.21   45.21   46.21   47.21   48.21
   49.21   50.21   51.21   52.21   53.21   54.21   55.21   56.21   57.21   58.21
   59.21   60.21   61.21   62.21   63.22   64.22   65.22   66.22   67.22   68.22
   69.22   70.23   71.23   72.23   73.23   74.23   75.23   76.24   77.24   78.24
   79.24   80.25   81.25   82.25   83.25   84.26   85.26   86.26   87.27   88.27
   89.27   90.28   91.28   92.28   93.29   94.29   95.29   96.30   97.30   98.30
   99.31  100.31  101.32  102.32  103.32  104.33  105.33  106.34  107.34  108.35
  109.35  110.36  111.36  112.36  113.37  114.37  115.38  116.38  117.39  118.39
  119.40  120.40  121.41  122.41  123.42  124.42  125.43  126.43  127.44  128.44
  129.45  130.45  131.46  132.47  133.47  134.48  135.48  136.49  137.49  138.50
  139.50  140.51  141.51  142.52  143.52  144.53  145.53  146.54  147.55  148.55
  149.56  150.56  151.57  152.57  153.58  154.58  155.59  156.59  157.60  158.60
  159.61  160.61  161.62  162.62  163.63  164.63  165.64  166.64  167.64  168.65
  169.65  170.66  171.66  172.67  173.67  174.68  175.68  176.68  177.69  178.69
  179.70  180.70  181.70  182.71  183.71  184.71  185.72  186.72  187.72  188.73
  189.73  190.73  191.74  192.74  193.74  194.75  195.75  196.75  197.75  198.76
  199.76  200.76  201.76  202.77  203.77  204.77  205.77  206.77  207.77  208.78
  209.78  210.78  211.78  212.78  213.78  214.78  215.79  216.79  217.79  218.79
  219.79  220.79  221.79  222.79  223.79  224.79  225.79  226.79  227.79  228.79
  229.79  230.79  231.79  232.79  233.79  234.79  235.79  236.79  237.78  238.78
  239.78  240.78  241.78  242.78  243.78  244.77  245.77  246.77  247.77  248.77
  249.77  250.76  251.76  252.76  253.76  254.76  255.75  256.75  257.75  258.75
  259.74  260.74  261.74  262.73  263.73  264.73  265.72  266.72  267.72  268.72
  269.71  270.71  271.71  272.70  273.70  274.69  275.69  276.69  277.68  278.68
  279.68  280.67  281.67  282.66  283.66  284.66  285.65  286.65  287.64  288.64
  289.64  290.63  291.63  292.62  293.62  294.61  295.61  296.60  297.60  298.60
  299.59  300.59  301.58  302.58  303.57  304.57  305.56  306.56  307.55  308.55
  309.55  310.54  311.54  312.53  313.53  314.52  315.52  316.51  317.51  318.50
  319.50  320.49  321.49  322.48  323.47  324.47  325.46  326.46  327.45  328.44
  329.44  330.43  331.43  332.42  333.41  334.41  335.40  336.40  337.39  338.39
  339.38  340.38  341.37  342.36  343.36  344.35  345.35  346.34  347.34  348.33
  349.33  350.32  351.32  352.31  353.31  354.30  355.30  356.29  357.29  358.28
  359.28    0.27    1.27    2.26    3.26    4.25    5.25    6.24    7.24    8.24
    9.23   10.23   11.22   12.22   13.22   14.21   15.21   16.20   17.20   18.20
   19.19   20.19   21.19   22.18   23.18   24.18   25.18   26.17   27.17   28.17
   29.17   30.16   31.16   32.16   33.16   34.15   35.15   36.15   37.15   38.15
   39.15   40.14   41.14   42.14   43.14   44.14   45.14   46.14   47.14   48.14
   49.14   50.14   51.14   52.14   53.14   54.14   55.14   56.14   57.14   58.14
   59.14   60.14   61.14   62.14   63.14   64.14   65.15   66.15   67.15   68.15
   69.15   70.15   71.16   72.16   73.16   74.16   75.17   76.17   77.17   78.17
   79.18   80.18   81.18   82.19   83.19   84.19   85.20   86.20   87.21   88.21
   89.21   90.22   91.22   92.23   93.23   94.23   95.24   96.24   97.25   98.25
   99.26  100.26  101.27  102.27  103.28  104.28  105.29  106.30  107.30  108.31
  109.31  110.32  111.32  112.33  113.34  114.34  115.35  116.35  117.36  118.37
  119.37  120.38  121.38  122.39  123.40  124.40  125.41  126.42  127.42  128.43
  129.44  130.44  131.45  132.46  133.46  134.47  135.48  136.48  137.49  138.50
  139.50  140.51  141.52  142.52  143.53  144.54  145.54  146.55  147.56  148.56
  149.57  150.58  151.58  152.59  153.60  154.60  155.61  156.62  157.62  158.63
  159.63  160.64  161.65  162.65  163.66  164.66  165.67  166.68  167.68  168.69
  169.69  170.70  171.70  172.71  173.72  174.72  175.73  176.73  177.74  178.74
  179.75  180.75  181.76  182.76  183.77  184.77  185.77  186.78  187.78  188.79
  189.79  190.79  191.80  192.80  193.81  194.81  195.81  196.82  197.82  198.82
  199.83  200.83  201.83  202.83  203.84  204.84  205.84  206.84  207.85  208.85
  209.85  210.85  211.85  212.85  213.86  214.86  215.86  216.86  217.86  218.86
